player,team,total_runs,batting_avg,batting_sr,total_wickets,bowling_avg,bowling_economy,catches,stumpings
DJM Short,Australia,512.0,27.33,75.17000000000002,0.0,0.0,6.83,4.0,0.0
Shafiul Islam,Bangladesh,5.0,0.0,100.0,1.0,76.0,8.44,0.0,0.0
T Sangha,Australia,756.0,0.0,37.5,72.0,10.416666666666666,6.828333333333327,0.0,0.0
NT Ellis,Australia,5913.0,4.5,48.66000000000004,1701.0,32.88444444444442,4.571111111111106,648.0,0.0
S Muthusamy,South Africa,128.0,2.0,66.65999999999994,128.0,33.5,5.740000000000005,64.0,0.0
M Mpongwana,South Africa,64.0,0.0,50.0,0.0,0.0,8.329999999999997,64.0,0.0
Shahidullah,Afghanistan,156.0,10.0,44.605000000000004,0.0,0.0,2.665,8.0,0.0
DJ Hooda,India,2448.0,27.5,74.84499999999997,48.0,29.75,3.8599999999999994,48.0,0.0
MJ Swepson,Australia,8.0,1.0,50.0,12.0,54.75,6.049999999999999,0.0,0.0
JP Behrendorff,Australia,2.0,2.0,25.0,0.0,0.0,5.66,0.0,0.0
FH Allen,New Zealand,28518.0,33.16571428571427,93.41857142857152,0.0,0.0,0.0,441.0,0.0
RD Gaikwad,India,3075.0,15.8,64.65400000000004,0.0,0.0,0.0,25.0,0.0
Ravi Bishnoi,India,4.0,0.0,200.0,1.0,69.0,8.62,0.0,0.0
L Wood,England,40.0,5.0,50.0,0.0,0.0,2.95,0.0,0.0
Shan Masood,Pakistan,468.0,8.833333333333334,25.443333333333335,0.0,0.0,0.0,9.0,0.0
Mrittunjoy Chowdhury,Bangladesh,8.0,8.0,72.72,0.0,0.0,8.0,2.0,0.0
Rony Talukdar,Bangladesh,4.0,4.0,28.57,0.0,0.0,0.0,1.0,0.0
BG Lister,New Zealand,40.0,4.5,57.57,16.0,45.33,6.005000000000001,0.0,0.0
Mukesh Kumar,India,90.0,2.0,43.383333333333354,72.0,58.416666666666664,5.013333333333332,9.0,0.0
Zia-ur-Rehman,Afghanistan,5.0,5.0,16.66,0.0,0.0,6.28,0.0,0.0
Mohammad Saleem,Afghanistan,0.0,0.0,0.0,0.0,0.0,6.77,1.0,0.0
Zaman Khan,Pakistan,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0
Shamim Hossain,Bangladesh,33.0,8.25,75.0,0.0,0.0,9.0,1.0,0.0
TW Hartley,England,12.0,0.0,133.33,0.0,0.0,4.8,0.0,0.0
GLS Scrimshaw,England,0.0,0.0,0.0,3.0,22.0,7.61,0.0,0.0
MG Neser,Australia,3.0,1.5,23.07,1.0,119.0,5.95,1.0,0.0
Karim Janat,Afghanistan,23.0,11.5,164.28,0.0,0.0,6.55,0.0,0.0
RM Patidar,India,22.0,22.0,137.5,0.0,0.0,0.0,0.0,0.0
MW Short,Australia,26368.0,19.966249999999977,83.22874999999995,320.0,49.0,4.943750000000002,832.0,0.0
AM Hardie,Australia,16768.0,15.8125,78.85375000000032,1216.0,23.071249999999978,5.141249999999999,256.0,0.0
M Labuschagne,Australia,1062232.0,31.20217391304395,80.56043478260806,6348.0,6.427391304347827,3.409999999999986,21160.0,0.0
Mohammad Nabi,Afghanistan,291924.0,24.624444444444535,90.65666666666725,16200.0,33.07555555555563,4.2499999999999885,9072.0,0.0
Ibrahim Zadran,Afghanistan,330848.0,47.37928571428584,78.70714285714286,0.0,0.0,0.0,2156.0,0.0
Qais Ahmad,Afghanistan,48.0,3.0,75.0,24.0,22.159999999999997,5.6899999999999995,0.0,0.0
Fareed Ahmad,Afghanistan,2880.0,4.875,40.868750000000055,1280.0,27.091249999999988,5.321249999999998,64.0,0.0
Towhid Hridoy,Bangladesh,254408.0,47.04071428571452,81.23571428571267,0.0,0.0,0.8571428571428571,1568.0,0.0
Soumya Sarkar,Bangladesh,56870.0,18.362727272727252,47.25999999999998,847.0,15.454545454545455,4.761818181818189,1573.0,0.0
Litton Das,Bangladesh,852894.0,29.22809523809563,74.89476190476142,0.0,0.0,0.0,16317.0,441.0
Taijul Islam,Bangladesh,4617.0,3.4811111111111104,25.764444444444464,2349.0,30.028888888888897,4.818888888888889,162.0,0.0
Nangeyalia Kharote,Afghanistan,369.0,13.666666666666666,67.5,99.0,17.359999999999996,3.6566666666666663,9.0,0.0
AM Ghazanfar,Afghanistan,592.0,1.375,69.37249999999997,336.0,9.805000000000003,4.135000000000003,16.0,0.0
SS Iyer,India,1462164.0,50.97772727272669,97.85409090908982,0.0,0.0,0.4063636363636375,13552.0,0.0
R Parag,India,15.0,15.0,115.38,3.0,18.0,6.0,0.0,0.0
Arshdeep Singh,India,2205.0,6.214285714285714,98.79571428571427,980.0,18.285714285714285,6.118571428571427,49.0,0.0
BM Duckett,England,168200.0,53.03100000000015,96.45600000000012,0.0,0.0,0.0,900.0,0.0
PD Salt,England,333824.0,29.021250000000194,117.94437499999948,0.0,0.0,0.0,8704.0,0.0
AU Rashid,England,255744.0,8.51458333333335,59.63083333333338,59904.0,36.60666666666672,5.747083333333355,15552.0,0.0
BA Carse,England,25600.0,15.066,73.73800000000006,2600.0,65.165,7.765000000000002,600.0,0.0
OP Stone,England,135.0,5.0,51.85,72.0,48.02666666666666,6.073333333333333,18.0,0.0
GJ Maxwell,Australia,341020.0,39.148823529411786,142.53529411764617,8381.0,30.30588235294117,5.397647058823532,7514.0,0.0
T Bavuma,South Africa,1048828.0,43.93227272727299,83.23090909090725,0.0,0.0,0.1618181818181818,16456.0,0.0
PWA Mulder,South Africa,34344.0,24.38888888888889,82.03666666666696,2187.0,28.035555555555554,6.071111111111115,891.0,0.0
RR Hendricks,South Africa,69091.0,29.256363636363627,71.60181818181866,0.0,0.0,0.0,1331.0,0.0
JF Smith,South Africa,9180.0,42.5,69.89999999999996,0.0,0.0,0.9666666666666665,36.0,0.0
